,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Cluster
167,Kissing a Fool - Instrumental Remastered,George Michael,0.373,0.306,5,-13.012,1,0.0372,0.216,0.733,0.114,0.129,77.855,273653,4,3
168,Friends 'Til the End Pt I,The Written Punishment,0.391,0.427,3,-15.124,1,0.0646,0.99,0.923,0.108,0.557,78.936,121234,3,1
169,Zwartkop (feat. The We're Home Family Drum Brigade),"KiloWatts', ""The We're Home Family Drum Brigade""",0.741,0.599,10,-9.871,0,0.0484,0.416,0.891,0.0947,0.166,115.021,505790,4,3
170,Köthener Trauermusik BWV 244a: Und du betrübtes Fürstenhaus (Rezitativ),"Johann Sebastian Bach', 'Núria Rial', 'Julia Schröder",0.486,0.0542,11,-17.567,0,0.0776,0.988,0,0.101,0.159,80.251,65560,1,7
171,The Pajama Game: Overture,"Richard Adler', 'Jerry Ross', 'Pajama Game Orchestra', 'Hal Hastings', 'The Original Broadway Cast Of The Pajama Game",0.321,0.475,5,-10.434,1,0.0443,0.864,0.698,0.0946,0.382,142.478,293933,4,7
172,Dirty Harry,DIRTY SONGS,0.625,0.877,10,-7.176,0,0.162,0.0315,0.0811,0.672,0.865,192.296,230426,4,0
173,Palindrome,"""Patrick Cress' Telepathy""",0.815,0.976,1,-3.757,1,0.0854,0.0108,0.594,0.26,0.861,127.946,121357,4,4
174,"Satanella, Act III: Act III Scene 2: Concerted piece: A fair Circassian (Bracaccio, Hortensius, Karl, Rupert, Lelia, Satanella)","Michael William Balfe', 'Frank Church', 'Quentin Hayes', 'Anthony Gregory', 'Kang Wang', 'Catherine Carby', 'Victorian Opera Orchestra', 'Richard Bonynge",0.485,0.0607,9,-25.271,1,0.0661,0.923,0,0.0765,0.242,127.601,139107,3,7
175,Kickin' Rocks (Titus Jones Remix),MC Crumbsnatcher,0.704,0.81,0,-5.969,1,0.144,0.0499,0,0.222,0.923,89.993,188004,4,4
176,Shoot Speed Kill Light,Sshh,0.37,0.979,2,-5.066,1,0.0633,0.00109,0.00287,0.326,0.197,142.995,314584,4,4
177,Metallurgical King (Live),Skullflower,0.173,0.976,6,-6.376,0,0.1,0.678,0.886,0.212,0.0362,78.801,390533,4,3
178,Esta Noche Es Nochebuena,Raya Real,0.72,0.447,0,-11.217,1,0.249,0.251,0,0.114,0.922,108.605,161040,4,8
179,Bad Boy,Pop Girls,0.697,0.674,1,-6.326,1,0.0533,0.00215,0,0.138,0.198,81.535,157355,4,4
180,Betcha,Megan Rochell,0.43,0.56,3,-9.62,1,0.0268,0.362,0.000107,0.495,0.391,72.238,253005,4,0
181,Deploy,"Daniel Suett', 'Skip Armstrong",0.529,0.796,0,-6.725,1,0.131,0.411,0.048,0.0753,0.607,168.04,261581,4,4
182,Tocohara,16,0.62,0.59,0,-5.511,0,0.0532,0.229,0,0.0693,0.863,180.143,139431,4,6
183,Barren History,Audiomachine,0.351,0.386,5,-11.767,0,0.0303,0.0562,0.892,0.113,0.0431,140.114,178347,3,3
184,Ruined Election Dinner,Christophe Beck,0.3,0.732,1,-10.349,1,0.046,0.000326,0.816,0.339,0.399,163.883,259520,4,3
185,When I Met You,Sarah Geronimo,0.551,0.262,10,-16.354,1,0.049,0.626,0,0.108,0.442,72.135,258493,4,7
186,"Walzer, Op.138, ""Schlittschuhlaufer""","Émile Waldteufel', 'Schwanen Salon Orchestra', 'Georg Huber",0.232,0.1,9,-16.063,1,0.0397,0.931,0.159,0.0943,0.155,166.537,514533,3,7
187,What It Is,Hayes Carll,0.84,0.304,0,-6.52,1,0.101,0.0732,1.76e-05,0.115,0.656,76.474,143476,4,4
188,I'll Be A Friend To Jesus,David Parmley & Continental Divide,0.46,0.443,0,-6.462,1,0.0339,0.737,0,0.152,0.87,197.139,126040,4,4
189,Blue Rooster,Branson Anderson,0.584,0.278,4,-18.566,1,0.0312,0.55,0.21,0.255,0.75,81.712,215027,4,7
190,The More You Want - Dance Trax Reprise,Groove Box,0.712,0.746,4,-11.304,0,0.0454,0.00947,0.81,0.0576,0.172,125.052,366650,4,3
191,You Can't Hide,"DJ Jean Maron', 'M.O.P.",0.742,0.552,10,-8.021,0,0.0883,0.151,0.00236,0.125,0.712,86.541,268526,4,6
192,Life Without a Car,Pale Man Made,0.59,0.546,7,-10.213,1,0.0436,0.301,0,0.0936,0.855,114.04,168640,4,4
193,Requiem in F Major: Dies Irae: Inter oves,"Antonio Lotti', 'Thomas Hengelbrock",0.266,0.213,6,-16.878,0,0.0414,0.962,0.491,0.11,0.0491,99.944,76280,4,1
194,"Der Schleier der Pierrette (The Veil of Pierrette), Op. 18 (version for orchestra): Merry Funeral March","Ernst von Dohnányi', 'BBC Philharmonic', 'Matthias Bamert",0.235,0.0155,7,-32.315,1,0.0349,0.904,0.825,0.0856,0.109,135.776,169200,4,1
195,Farewell,The Missing Parts,0.89,0.664,4,-6.625,0,0.106,0.00487,0,0.257,0.467,93.007,247733,4,6
196,"The Times They Are A-Changin' - Live at Royal Festival Hall, London, UK - May 1964",Bob Dylan,0.577,0.271,7,-15.535,1,0.0353,0.382,0,0.975,0.529,96.392,212493,1,0
197,call of the wild,Bellevue Cadillac,0.555,0.636,4,-11.547,0,0.0497,0.0688,0,0.106,0.402,98.391,195200,4,6
198,Risk and Reward,Yasuharu Takanashi,0.234,0.522,7,-17.61,1,0.0664,0.0374,0.867,0.0952,0.106,83.963,50000,4,3
199,Ring of Fire,Hushabye Baby,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111,158427,4,4
200,Don't Stop Me Now,Countermeasure,0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271,209413,4,0
201,Guiding Star,Elixir,0.524,0.672,7,-10.996,1,0.0435,0.713,0.776,0.0983,0.159,180.014,218087,1,3
202,Canopy of Stars,Ann Sweeten,0.481,0.327,6,-8.468,1,0.0367,0.845,1.22e-06,0.0862,0.205,74.25,220760,4,7
203,Christmas Joy,Ellis Marsalis,0.508,0.814,0,-2.014,1,0.0431,0.00447,1.39e-06,0.359,0.528,119.916,125400,4,4
204,"11 Chorale Preludes, Op. 122: O Welt, ich muss dich lassen","Johannes Brahms', 'Robert Parkins",0.11,0.00115,5,-38.022,1,0.0437,0.94,0.986,0.114,0.147,93.945,152000,3,1
205,Make Believe,Elvis Presley,0.465,0.841,0,-4.35,1,0.0724,0.123,0,0.138,0.672,83.965,142026,4,4
206,Crazy,Duke Robillard & Sunny Crownover,0.729,0.73,11,-5.14,0,0.261,0.00165,4.33e-05,0.118,0.41,156.953,191399,4,6
207,Red Haired Boy,Tom Breiding,0.467,0.513,2,-15.876,1,0.0363,0.656,0.798,0.128,0.901,119.311,203960,4,3
208,Keep Prayin',The Outlaws,0.394,0.456,0,-7.809,1,0.0337,0.592,0,0.057,0.264,79.962,457327,4,7
209,Wait Right Here,The Moth & The Flame,0.285,0.428,2,-8.346,1,0.0298,0.818,0.146,0.0872,0.502,151.916,228827,3,7
210,Caribbean Magic,Dennis Bourke,0.79,0.396,5,-16.195,1,0.111,0.154,0.716,0.0999,0.961,132.037,133252,4,4
211,The Master's Garden,The Greer Family Band,0.42,0.614,7,-6.848,1,0.0681,0.516,2.33e-05,0.122,0.456,173.288,947253,4,4
212,Alferes,João Bosco,0.652,0.514,2,-10.014,0,0.0398,0.516,0.899,0.0952,0.318,168.566,113933,4,3
213,Destructor,Korupture,0.473,0.898,6,-3.537,0,0.0363,7.34e-06,0.56,0.311,0.405,104.031,347941,4,3
214,Decomposed - Remastered,Mentallo & The Fixer,0.629,0.684,10,-9.055,0,0.0365,0.00113,0.0204,0.06,0.577,120.278,390680,4,6
215,Old Quaker Blues,Jimmy Yancey,0.611,0.225,8,-19.787,1,0.0459,0.994,0.872,0.156,0.766,83.389,158537,4,1
216,"String Quartet No. 11 in F Major, Op. 89: IV. Allegro leggiero","Mieczysław Weinberg', 'Quatuor Danel",0.256,0.00383,5,-38.568,1,0.0448,0.956,0.00465,0.0623,0.0379,140.683,369067,3,1
217,The Witch of Atlas: H. Più tranquillamente - Tempo I - Molto lento,"Granville Bantock', 'BBC National Orchestra Of Wales', 'Rumon Gamba",0,0,0,0,0,0,0,0,0,0,0,0,0,2
218,Stockholm Syndrome,The Ivins,0.678,0.933,2,-4.959,1,0.14,0.0734,0,0.0863,0.336,120.572,214720,4,4
219,Do What We Gotta Do,Mnmsta,0.865,0.665,7,-6.289,1,0.073,0.0453,0,0.224,0.331,111.113,268827,4,4
220,"Misty Mountains (From ""The Hobbit"")",Camille and Kennerly,0.184,0.173,9,-15.146,0,0.0407,0.942,0.924,0.111,0.0409,77.444,151480,5,1
221,Vom Sprengen Des Gartens,Das Kapital,0.36,0.0172,10,-29.889,1,0.188,0.69,3.49e-05,0.591,0.0261,135.947,293347,3,0
222,I Know I'm Not Wrong - 2015 Remaster,Fleetwood Mac,0.583,0.758,0,-9.181,1,0.0279,0.0187,0.023,0.0603,0.854,79.35,181853,4,4
223,Der Schwere Abend (Psy'Aviah Mix),Schwarzblut,0.622,0.831,0,-6.316,0,0.0319,0.138,0.364,0.161,0.524,120.03,245720,4,6
224,"Electra, Act II: Electra: ""That I Would Counsel You...""","Mikis Theodorakis', 'St. Petersburg State Academic Capella Orchestra",0.31,0.231,7,-14.494,1,0.0433,0.953,0.000183,0.142,0.0986,96.362,201947,4,7
225,Invincible,Muse,0.548,0.732,11,-5.652,0,0.336,0.125,0,0.269,0.612,142.791,127547,4,8
226,Watching The Signs,Amanda Rheaume,0.41,0.321,9,-11.771,1,0.0292,0.771,3.34e-06,0.103,0.301,86.553,185160,4,7
227,Rappin Cat,Yusef Lateef aka Barocka,0.628,0.465,5,-9.178,1,0.456,0.0126,0,0.137,0.665,120.457,265172,5,8
228,Reflections,Kevin M. Thomas,0.648,0.594,11,-7.027,0,0.0293,0.114,0.0462,0.116,0.544,113.983,244013,4,6
229,Interlude,"Big Pokey, E.S.G.",0.469,0.309,7,-13.694,1,0.091,0.965,0,0.115,0.235,112.412,52600,4,7
230,El Toro Requeson,Trio Xoxocapa,0.636,0.881,8,-4.331,1,0.139,0.49,0,0.1,0.842,146.445,211426,4,4
231,"The Well-Tempered Clavier Book I in B Major, BWV 868: The Well-Tempered Clavier Book I: Fugue No. 23 in B Major, BWV 868","Johann Sebastian Bach', 'John Butt",0.435,0.109,11,-24.506,1,0.0426,0.993,0.876,0.12,0.418,130.315,135950,4,1
232,Evil Dermis,Frontierer,0.272,0.997,6,-2.469,0,0.174,2.11e-05,0.977,0.344,0.0652,121.207,204660,3,3
233,Cold Lamping,Readymade,0.796,0.654,0,-13.737,1,0.258,0.036,0,0.215,0.738,107.715,257533,4,8
234,Elevator,Young Rival,0.772,0.586,10,-10.434,0,0.301,0.0234,0.000722,0.0562,0.643,85.068,265200,4,8
235,Heart Attack,Darren Hayes,0.504,0.785,8,-4.802,1,0.104,0.0738,0,0.239,0.502,173.968,210840,4,4
236,Realize,Marvillous Beats,0.693,0.594,1,-6.408,1,0.0325,0.13,0,0.115,0.192,123.932,244107,4,4
237,That's What I Think,Cyndi Lauper,0.767,0.92,0,-6.026,1,0.041,0.201,4e-05,0.71,0.8,103.035,257107,4,0
238,Six Feet Under,Ego Spank,0.576,0.307,11,-12.732,0,0.0428,0.807,0.000355,0.0792,0.157,67.513,189613,4,7
239,Piano Puzzlers: When the Saints Go Marching In,"Bruce Adolphe', 'Carlo Grante",0.402,0.113,8,-20.933,1,0.0358,0.994,0.924,0.109,0.257,69.046,84533,4,1
240,Safe in the City,"Company', 'Paul Baker",0.596,0.786,0,-9.094,1,0.0537,0.00163,0.196,0.213,0.608,160.006,166800,4,4
241,Fonda,Ryley Walker,0.769,0.473,7,-9.646,0,0.188,0.418,1.39e-05,0.11,0.427,144.006,154265,4,6
242,"Mikrokosmos, BB 105, Vol. 3: Vol. 3, No. 87. Variations: Allegro moderato","Béla Bartók', 'Balazs Szokolay",0.297,0.0367,7,-30.272,1,0.0616,0.994,0.923,0.102,0.43,71.977,70667,3,1
243,Watjalarinyi,Tjupi Band,0.483,0.605,0,-8.569,1,0.0324,0.298,0.00034,0.0629,0.967,136.959,340240,4,4
244,Wildfire - Piano and Violin Version,SYML,0.322,0.254,8,-9.956,0,0.0453,0.932,0.726,0.104,0.0939,128.695,235429,4,1
245,Song for Aaron,"Turn', 'Jonathan Hofmeister', 'Florian Herzog', 'Jan F. Brill",0.509,0.145,11,-22.768,0,0.0317,0.93,0.898,0.116,0.317,134.676,382013,4,1
246,The Touch Of Your Lips,Even Quartet,0.478,0.00776,10,-24.986,1,0.0614,0.983,0.78,0.105,0.215,114.27,499533,4,1
247,Higher,Kevin M. Thomas,0.459,0.83,2,-6.254,1,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,316733,4,4
248,Let's,Nicolette Emanuelle,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,339320,4,6
249,Concierto de Aranjuez: II. Adagio,"Joaquín Rodrigo', 'Norbert Kraft', 'Northern Chamber Orchestra', 'Nicholas Ward",0.281,0.0174,11,-27.288,0,0.0459,0.895,0.901,0.0784,0.0477,130.911,653267,3,1
250,Lobotomie Matricielle,Aiboforcen,0.722,0.902,7,-10.854,1,0.0682,0.0786,0.834,0.0994,0.142,120.017,184160,4,3
251,Night's Queen,Voices of Decay,0.251,0.686,8,-8.315,1,0.0463,0.055,0.193,0.121,0.15,90.305,259250,4,4
252,Night Spots - 2016 Remaster,The Cars,0.671,0.931,9,-7.09,1,0.0349,0.138,0.00358,0.653,0.964,130.71,193893,4,0
253,Heaven Knows (Feels so Good),Jaki Graham,0.55,0.733,0,-9.957,1,0.0413,0.307,3.17e-05,0.11,0.574,90.133,302853,4,4
254,Good Times,Moonshine Bandits,0.697,0.761,11,-7.647,0,0.302,0.157,0,0.789,0.666,81.728,211493,4,0
255,The Sweetest Taboo - Live,Sade,0.585,0.867,10,-9.408,0,0.0424,0.038,0.0904,0.981,0.731,91.476,361000,4,0
256,Risin' River,Wo Fat,0.643,0.138,4,-17.292,1,0.0334,0.938,0.0172,0.0953,0.122,89.649,232573,4,7
257,"Saffo, Act II: Act II: Recitativo: Ciascun mi fugge (Faone)","Johann Simon Mayr', 'Jaewon Yun', 'Concerto de Bassus', 'Franz Hauk",0,0,0,0,0,0,0,0,0,0,0,0,0,2
258,Die Liebe lebt,Münchener Freiheit,0.608,0.627,2,-4.461,1,0.0484,0.0534,0,0.145,0.26,149.832,207320,4,4
259,the follly of wisdom,"the olllam', 'John McSherry', 'Michael Shimmin', 'Tyler Andrew Duncan",0.62,0.469,10,-12.641,1,0.0363,0.636,0.836,0.185,0.26,152.984,257773,4,3
260,Just Got Back From The City - (1966 Demo),Captain Beefheart,0.681,0.641,9,-9.474,1,0.0398,0.0352,5.55e-05,0.337,0.961,97.976,113693,4,4
261,Noyade,Jucifer,0.684,0.504,11,-10.672,0,0.0321,0.655,0.69,0.114,0.0394,114.982,188729,4,3
262,Amapola,Stuart Matthewman,0.784,0.689,4,-8.216,0,0.0385,0.759,0.00536,0.143,0.332,124.025,205716,4,6
263,Paris In The Rain,"Alcazar', 'Alexander Bard', 'Anders Hansson', 'Johan Strandkvist",0.426,0.408,3,-9.419,1,0.0524,0.771,7.88e-06,0.394,0.528,76.309,204712,4,7
264,Seeing Daylight,The Mountain Goats,0.656,0.264,5,-12.833,1,0.0468,0.786,0.0982,0.0964,0.182,119.268,200427,4,7
265,Many Things,Soapbox Symphony,0.682,0.837,5,-5.821,0,0.0317,0.00103,0.0557,0.195,0.963,96.264,483439,4,6
266,"Saved Herself, Shaved Herself",Circus Devils,0.323,0.589,4,-6.48,1,0.0323,0.0591,3.87e-05,0.31,0.218,96.973,163347,4,4
267,Give It Up (Instrumental),KC & The Sunshine Band,0.852,0.611,11,-8.18,0,0.125,0.00894,0.673,0.136,0.684,170.015,238333,4,6
268,Last Day on Earth,Kinski,0.494,0.553,5,-5.57,1,0.197,0.413,4.17e-05,0.218,0.359,82.061,172756,4,4
269,What If Love Hangs On,Travis Tritt,0.582,0.411,7,-9.38,1,0.0279,0.506,0,0.0941,0.263,119.972,242107,4,7
270,Danza de los ojos verdes,"Enrique Granados', 'Orquestra Simfònica de Barcelona i Nacional de Catalunya', 'Pablo González",0.327,0.0529,10,-27.695,0,0.0372,0.958,0.779,0.0942,0.307,121.607,228493,1,1
271,Escape A Sales Job,Jonathan Ian,0.652,0.626,3,-7.186,0,0.0387,0.929,0.173,0.0568,0.962,125.515,74480,4,6
272,MARBLE TEA,Shawn Wasabi,0.416,0.66,7,-4.377,1,0.0384,0.726,0.0203,0.294,0.242,140.14,145950,4,4
273,Soul Man - Live,The Blues Brothers,0.629,0.857,9,-7.059,1,0.0705,0.0157,0.00396,0.755,0.528,116.254,180973,4,0
274,Domestic Violence,RZA,0.465,0.485,2,-9.665,1,0.239,0.223,0,0.284,0.306,88.9,119333,3,8
275,"Burns Carpenter, Man of Science",Airport 5,0.643,0.807,9,-6.231,0,0.0337,0.438,8.75e-06,0.194,0.395,96.537,220227,4,6
276,Slide (feat. Blueface & Lil Tjay),"French Montana', 'Blueface', 'Lil Tjay",0.532,0.704,5,-3.895,0,0.26,0.093,0,0.184,0.591,96.004,186344,4,8
277,Amor Amo De Mi Vida,Xochitl Mejia Y Su Grupo Destacados,0.689,0.556,10,-4.776,1,0.0305,0.0254,0,0.0942,0.795,132.851,208160,4,4
278,Variatio 10 a 1 Clav. Fughetta,Cécile Bogaerts,0.275,0.329,7,-15.509,1,0.0374,0.973,0.881,0.166,0.874,186.273,64293,4,7
279,Rinaldo: Lascia ch'io pianga,"George Frideric Handel', 'Niklas Eklund', 'Susanne Rydén', 'London Baroque', 'Charles Medlam",0.235,0.0175,4,-23.931,1,0.0462,0.979,8.51e-05,0.19,0.138,88.147,270973,5,7
280,Land: Horses / Land of a Thousand Dances / La Mer(de),Patti Smith,0.477,0.654,9,-10.408,1,0.324,0.121,0.000247,0.155,0.571,148.143,565453,4,8
281,"The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto","Antonio Vivaldi', 'Roland Roberts', 'City Of Oxford Orchestra', 'Levon Parikian",0.0932,0.0257,2,-36.11,1,0.0347,0.378,0.512,0.103,0.0354,77.418,125520,4,1
282,Willow Weep For Me,Dominick Farinacci,0.51,0.236,7,-15.62,1,0.0345,0.742,0.617,0.0916,0.215,129.408,387373,4,7
283,Hermaphrodite,Shat,0.483,0.424,0,-7.724,1,0.0292,0.498,0,0.1,0.256,114.717,169213,4,7
284,The Last Way of Madness,Suffocation Of Soul,0.278,0.975,0,-4.387,1,0.074,0.00013,0.224,0.067,0.291,108.91,552733,4,4
285,"Piano Sonata No. 14 in C Minor, K. 457: III. Molto allegro","Wolfgang Amadeus Mozart', 'Jenő Jandó",0.396,0.183,0,-22.87,0,0.0517,0.988,0.894,0.115,0.371,103.195,297533,1,1
286,Sonata XI a 5,"Heinrich Ignaz Franz von Biber', 'Purcell Quartet",0.381,0.0964,7,-22.537,0,0.0432,0.99,0.923,0.209,0.325,111.844,464933,4,1
287,Pea Vne Special,People vs. Larsen,0.503,0.387,1,-8.996,1,0.0285,0.518,0.00557,0.364,0.306,88.257,166387,4,7
288,Charade,Kat Edmonson,0.631,0.932,7,-7.224,0,0.0371,0.346,0.358,0.112,0.866,110.226,317571,4,6
289,Would You,714,0.605,0.864,6,-5.365,1,0.0292,0.13,0.000827,0.113,0.736,122.918,228187,4,4
290,Embracing the Immortal Wine (Communion),Akrabu,0.475,0.245,10,-18.533,1,0.052,0.962,0.9,0.0961,0.477,110.996,182610,4,1
291,Knocks Me Off My Feet,Donell Jones,0.469,0.594,7,-8.209,1,0.0403,0.0663,0,0.0806,0.485,167.223,222760,4,4
292,#6 (Garden Grey),Shirk Circus,0.48,0.974,10,-6.942,1,0.125,0.00632,1.05e-05,0.334,0.422,104.04,86040,4,4
293,Comment 10,Al Cook,0.392,0.202,10,-15.911,1,0.0292,0.883,0.00148,0.0998,0.336,142.591,357160,4,7
294,The Bell of Chicago,"John Philip Sousa', 'C.W. Hewitt', 'Williams Fairey Band', 'Peter Parkes",0.591,0.473,1,-10.373,0,0.124,0.000916,0,0.146,0.517,72.157,187542,4,6
295,I Missed Her,Ray Lambiase,0.418,0.294,1,-10.303,1,0.0387,0.628,0,0.159,0.397,99.738,238413,3,7
296,"Beethoven - Symphony No. 8 in F Major, S. 464/R. 128: I. Allegro vivace e con brio","Franz Liszt', 'Konstantin Scherbakov",0.353,0.18,5,-20.37,1,0.0777,0.982,0.875,0.088,0.272,176.243,515733,3,1
297,Zambi,Chicago Afrobeat Project,0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,306440,4,4
298,Tomorrow,"""Soggy Po' Boys""",0.441,0.644,11,-5.774,1,0.0363,0.56,0,0.109,0.349,141.733,220173,4,4
299,The Downfall (Interlude),Man Down,0.641,0.388,7,-13.261,1,0.0348,0.801,0,0.0624,0.678,126.004,147120,4,7
300,Perfect One,Lit,0.647,0.823,2,-5.231,1,0.0762,0.0598,0,0.119,0.396,99.933,230333,4,4
301,In Times Like This - Ziggy Funk Remix,"DJ Hypnosis', 'Decency', 'Ziggy Funk",0.74,0.881,1,-8.496,0,0.0362,0.00697,0.706,0.0577,0.975,124.006,598000,4,6
302,Them Dance Hall Girls,Keith Miles,0.35,0.434,2,-9.975,1,0.0264,0.804,0.00286,0.0762,0.578,147.132,193373,4,7
303,We All Kings,Prince Shepherd,0.665,0.686,0,-5.849,1,0.0268,0.0518,0.000176,0.174,0.275,96.848,185694,3,4
304,This Time Next Year,John Callaghan,0.376,0.868,2,-4.981,1,0.0418,1.17e-05,0.00596,0.0755,0.471,90.979,170293,4,4
305,Infected with Hemiola,The Matt Savage Trio,0.485,0.324,3,-13.245,1,0.0331,0.959,0.839,0.143,0.842,102.509,164733,4,7
306,"Demetrio e Polibio, Act I: Andiamo taciti (Live)","Gioachino Rossini', 'Poznan Camerata Bach Choir', 'Virtuosi Brunensis', 'Luciano Acocella",0.361,0.0708,2,-28.17,1,0.037,0.988,0.0182,0.308,0.0695,103.317,80173,3,7
307,My Puzzle Of Dreams,"Vanilla Ninja', 'Piret Järvis', ""John O'Flynn"", 'Lenna Kuurmaa",0.617,0.722,0,-6.005,1,0.0312,0.0705,1.52e-06,0.0638,0.461,111.994,204533,4,4
308,Sky Is Falling,"Darren Styles', 'Stonebank', 'EMEL",0.803,0.587,1,-7.016,1,0.234,0.037,0.000283,0.484,0.559,94.118,146560,4,8
309,The Maid Who Sold the Barley,Julee Glaub,0.615,0.274,0,-13.697,0,0.0656,0.916,0.000774,0.0919,0.845,116.754,173107,4,7
310,Ci sarà - Live,Al Bano And Romina Power,0.476,0.711,2,-5.072,0,0.0623,0.464,0,0.975,0.266,114.813,244680,4,0
311,Moment,Shepherds,0.544,0.855,6,-7.461,1,0.093,0.0426,0.157,0.167,0.517,171.349,129543,4,4
312,Orbits of Existence,Chris Haigh,0.494,0.987,6,-3.39,1,0.148,6.15e-05,0.00292,0.0859,0.141,140.028,265716,4,4
313,Trapped,Pollari,0.819,0.698,1,-8.148,1,0.0339,0.503,0.000323,0.113,0.787,119.006,214347,4,4
314,Lames,"Ancient', 'Hippie Rockso",0.555,0.204,7,-16.191,0,0.375,0.529,0,0.147,0.35,95.872,166478,4,8
315,"Fantastic Dances, Op. 2: No. 4. Dance of Ecstasy","Loris Tjeknavorian', 'Tara Kamangar",0.338,0.145,11,-21.594,1,0.03,0.986,0.887,0.128,0.0867,77.219,161813,4,1
316,Ancient Monks Retreat - Perfect for Relaxation and Meditation,Ethereal Dreams,0.133,0.0183,0,-30.112,0,0.0421,0.918,0.863,0.115,0.0368,67.589,3586600,3,5
317,The Moon Kid,Asterhouse,0.649,0.659,0,-8.924,1,0.066,0.638,2.71e-05,0.359,0.497,90.991,210893,4,4
318,Jack'in Steal'in,D. Lew,0.764,0.514,0,-12.063,1,0.199,0.00229,0,0.165,0.49,78.06,237253,4,4
319,Down Here Where I Am,Blaze Foley,0.569,0.34,4,-16.607,0,0.0264,0.351,0.416,0.472,0.565,98.664,173831,4,6
320,Blood Orgy of the She-Devils,Hellripper,0.312,0.998,1,-2.231,1,0.152,0.000539,1.11e-05,0.273,0.186,161.053,167120,4,4
321,Put Out Or Get Out Feat: Howie Simon & Lizzy Devine,Tuff,0.435,0.911,9,-4.483,1,0.0654,0.000181,2.79e-06,0.044,0.497,134.052,158853,4,4
322,"3 Caprices, Op. 27: No. 3 in G Minor: Adagio - Allegro l'istesso tempo","Karol Lipinski', 'Xi Chen",0.399,0.0827,7,-20.281,1,0.0669,0.977,0.0756,0.0747,0.316,83.94,929853,4,7
323,"24 Preludes, Op. 28: Prelude No. 15 in D-Flat Major, Op. 28, No. 15, ""Raindrop""","Frédéric Chopin', 'Irina Zaritzkaya",0.378,0.00316,1,-32.478,1,0.0485,0.995,0.892,0.0871,0.101,127.511,392787,4,1
324,Flirtation,Michael Franks,0.828,0.722,0,-6.909,1,0.0543,0.0297,0.814,0.258,0.83,99.195,265427,4,4
325,Minutes Pass,Daylight Dies,0.687,0.444,1,-6.852,1,0.0447,0.0399,0,0.326,0.0906,90.007,252133,4,4
326,Angels We Have Heard On High,The Galway Christmas Singers,0.456,0.497,5,-10.843,0,0.0399,0.872,0.184,0.101,0.605,119.411,253622,4,6
327,Every Night - Suburban Nightmare EP,Dwarves,0,0,0,0,0,0,0,0,0,0,0,0,0,2
328,Lobos de la Tribu,Curawaka,0.706,0.532,2,-10.167,1,0.0477,0.67,0,0.574,0.924,98.027,311002,4,0
329,Creeps Are Everywhere,Mudhoney,0.615,0.834,9,-7.764,0,0.0337,0.193,0.541,0.176,0.801,104.004,314227,4,6
330,Saturday Night,Gregory Isaacs,0.551,0.44,10,-8.559,1,0.0985,0.606,3.02e-05,0.11,0.341,167.923,210667,4,7
331,Born to Arms (Fantasy),Gareth Coker,0.439,0.491,2,-13.336,1,0.0367,0.878,0.922,0.142,0.324,139.931,132712,4,3
332,"Texas, Texas; No, Tennessee",The Evaluation,0.5,0.523,5,-12.602,0,0.0562,0.919,0.428,0.0926,0.793,191.394,201333,4,6
333,Hot Potatoes,The Kinks,0.522,0.552,2,-12.083,1,0.0382,0.561,0,0.0795,0.822,99.436,209084,4,4
334,Journey to Paradise,Ricky Tims,0.443,0.755,10,-5.625,1,0.0372,0.483,0,0.138,0.567,160.02,213760,4,4
335,Bounty Hunter,"""The Men They Couldn't Hang""",0.623,0.487,9,-7.247,1,0.0398,0.0681,0,0.319,0.285,84.989,152472,4,4
336,"Concerto In E Major, BWV 1042, Allegro assai","Johann Sebastian Bach', 'Gilles Apap & the Sinfonia Varsovia",0.549,0.225,4,-19.133,1,0.0414,0.918,0.000181,0.199,0.934,98.52,163413,4,7
337,Mi chica ideal,Banda Machos,0.602,0.623,9,-8.978,0,0.0437,0.128,0.000593,0.0836,0.75,167.907,228387,4,6
338,"Eugene Onegin, Op. 71 (arr. E. Downes): Minuet","Sergei Prokofiev', 'Sir Edward Downes', 'Royal Scottish National Orchestra', 'Neeme Järvi",0.268,0.161,5,-22.799,1,0.0389,0.594,0.598,0.206,0.251,85.173,88867,3,1
339,Put That Woman First,Jaheim,0.649,0.536,5,-8.804,0,0.132,0.492,0,0.184,0.513,78.935,245773,4,6
340,Don't Ask Me Why (Remix),"Bizzy Bone', 'Layzie Bone', 'Bone Thugs-N-Harmony",0.595,0.555,4,-7.97,0,0.321,0.0269,0,0.113,0.528,84.679,286013,4,8
